year,months,sp_usd,fx,sp_kzt,sp_net_kzt,dep_kzt,dep_usd_kzt,cpi,usdkzt_end,dep_rate_dec,excess,sp_real,dep_real,winner
2000,12,-0.09104087616216316,0.0455861070911725,-0.04960496820139326,-0.05219267173158593,0.17562309556262345,0.13555966170586076,0.09784507862551162,144.5,15.6,-0.19158186379132702,-0.13430861029272956,0.07084607696605882,Депозит
2001,12,-0.11886011811927288,0.039446366782006415,-0.08410235115235187,-0.08683996551546846,0.15645939370332895,0.12311172183736163,0.06419098143235957,150.2,12.8,-0.20801572987818462,-0.13934842069899367,0.08670286995552212,Депозит
2002,12,-0.22100330521333356,0.0359520639147799,-0.19299676625296092,-0.19579908143815994,0.12051442005504454,0.11194574984098993,0.06580259222332718,155.6,11.0,-0.279792192493698,-0.24282110060965167,0.05133392265221004,Депозит
2003,12,0.2868423795879569,-0.07313624678663178,0.19272755773891426,0.1883369520084841,0.1115783472964087,-0.01368295157164423,0.0673526660430317,144.22,10.9,0.07300359047104266,0.1174634173732676,0.041434928360964074,S&P 500
2004,12,0.10882109862232192,-0.09859936208570175,-0.0005079543690061916,-0.004067027153806579,0.09942810590745799,-0.04482680546112561,0.06923751095530362,130.0,9.3,-0.0908982222116087,-0.06522916060248962,0.028235630197055883,Депозит
2005,12,0.049117773987827906,0.02900000000000036,0.07954218943347557,0.07549968801216944,0.09852052346734141,0.09101786677665502,0.07625505400503418,133.77,9.1,-0.01727626715062469,0.0030542346037856216,0.020687911642738754,Депозит
2006,12,0.15794461193725295,-0.05060925469088717,0.0993418981537797,0.09513900849028079,0.09897429210750719,0.008197399272602546,0.08399665286294011,127.0,9.8,0.00033449922251360675,0.01415617405303915,0.013817053037027183,S&P 500
2007,12,0.0549373111819591,-0.05275590551181075,-0.0007168619276402,-0.00452009642299156,0.10827632940601273,0.02035383566162241,0.18771948563657492,120.3,11.5,-0.09834477958404875,-0.15865391604922607,-0.06688713723340445,Депозит
2008,12,-0.3699761113271859,0.003906899418121279,-0.36751467136312754,-0.3704325156593705,0.1177413923659445,0.10135393295072848,0.0948429220139484,120.77,11.3,-0.434139835066787,-0.42230495725046613,0.020914845309384367,Депозит
2009,12,0.2646423382978751,0.22845077419889037,0.5535508595667196,0.546432051341023,0.09839298020568799,0.3198695496033279,0.06376533874518553,148.36,10.0,0.41438527700331584,0.4604262829237167,0.032551955021724144,S&P 500
2010,12,0.15063403486394544,-0.006470746832029639,0.14318857332802293,0.13863548783914936,0.1022488818062659,0.060414785302348006,0.07969387021485685,147.4,8.8,0.03714196693460803,0.05880806112248349,0.020890191390010138,S&P 500
2011,12,0.021118153857239585,0.006784260515603879,0.028045685430219347,0.023802025271154603,0.08775944134907432,0.07483319683073719,0.07428788107632456,148.4,8.4,-0.05489610445926907,-0.04304451019197508,0.012539990918684296,Депозит
2012,12,0.16003224238602742,0.015768194070080677,0.17832385591152144,0.17317128751145772,0.08551225070606905,0.07395412347275787,0.0606014623015918,150.74,8.3,0.085500283525205,0.11099588091691137,0.023487416612097523,S&P 500
2013,12,0.3238848466970674,0.019039405599045267,0.3490908272597619,0.34348140994436216,0.07540114617296689,0.07179749276253355,0.04903176116576469,153.61,8.1,0.25450008311854155,0.28603430058261403,0.025136879533464773,S&P 500
2014,12,0.13688358376181697,0.1870971941930868,0.3495913124078327,0.34413629270223534,0.08623072376197927,0.2372064950302537,0.0753969717965608,182.35,8.1,0.24245363612414494,0.25497034844091315,0.010074188648048432,S&P 500
2015,12,0.013837640885861147,0.8616397038661916,0.8874004055471538,0.87957906558885,0.08542186246080963,0.9286530786930371,0.13526608190394218,339.47,8.5,0.7388634509978838,0.6625180965345283,-0.04390531897116079,S&P 500
2016,12,0.11959913306315384,-0.018204848734792,0.0992170002021342,0.09453011129696343,0.12189961960425566,0.010648570309798489,0.08291802434101103,333.29,12.2,-0.020218047145895812,0.015050978462604947,0.03599681082690087,Депозит
2017,12,0.21831591555840846,-0.002880374448678058,0.21480670952481584,0.20998062703037146,0.12887191079011706,0.020211635530310135,0.0722203393045735,332.33,11.7,0.07612449022188139,0.1329823404699837,0.05283575530966611,S&P 500
2018,12,-0.043842333247031795,0.15607980019859835,0.10539456433812933,0.10104979378885237,0.11894701927486118,0.1767678369815031,0.05427165506360532,384.2,10.4,-0.012111793233530066,0.04849121099764342,0.06134601447418597,Депозит
2019,12,0.3148636179238713,-0.007860489328475162,0.30452814648678084,0.2993444734333566,0.09997420122545564,0.00411080822477361,0.05428522061824004,381.18,9.0,0.18596249351433558,0.23735789990662748,0.04333645176247769,S&P 500
2020,12,0.18398831564768492,0.10370428668870435,0.3067729793696874,0.3019170919649161,0.10006497268973802,0.11683575651313594,0.07499999999999996,420.71,9.2,0.18790527088098563,0.21560277150668594,0.023316253664872555,S&P 500
2021,12,0.28705369259327895,0.02605119916331944,0.32058298467291135,0.3164872180681082,0.09109511570643392,0.03592744148656535,0.08513577026002839,431.67,8.0,0.21032801417857572,0.21697489002363568,0.00549179707252434,S&P 500
2022,12,-0.1811088888630299,0.07176778557694585,-0.12233888718808483,-0.12538556789631494,0.11368120214906852,0.08055338612203289,0.20350826018933588,462.65,13.3,-0.2119278738670508,-0.2707477448689537,-0.07463767471453475,Депозит
2023,12,0.26287659524670315,-0.017486220685182352,0.2407936564040669,0.2365280131851919,0.14716617267894172,-0.009019731592062707,0.10139802359784711,454.56,13.7,0.0816163219897601,0.1265624504671503,0.04155459525121308,S&P 500
2024,12,0.250196819160305,0.1517511439633934,0.4399156166472762,0.43553372283557357,0.1445227395398545,0.16215977009779214,0.08727956919096891,523.54,13.2,0.25809262402788247,0.32432877196312937,0.05264806952224754,S&P 500
2025,12,0.17879972203280303,-0.04005424609389863,0.13158378787108171,0.12831031572150198,0.14962495121458197,-0.031620980845040836,0.123,502.57,14.7,-0.01569308610120168,0.0076436223250950786,0.023708772230260022,Депозит
2026,8,0.13136860159552288,-0.07521340310802438,0.04627451889995626,0.04439625177619577,0.1036680980372846,-0.06988249008254,0.06367322995655122,464.77,14.7,-0.05200257146092613,-0.01635719558092641,0.037600709460712034,Депозит
