start_year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
2000,-0.19781408243281973,-0.20412333642765412,-0.23108284200231466,-0.1650517766504036,-0.1513271846018044,-0.13087162630912752,-0.11372331140515113,-0.11223868669825698,-0.15600244867592317,-0.11169035552578899,-0.09992297879288803,-0.09673106269522236,-0.08514749624748819,-0.06593763511913231,-0.04925217530548498,-0.014285778273642191,-0.01500833688609593,-0.010591382973862973,-0.010967125327562832,-0.0023439183147427878,0.00565597858099065,0.013902816516762284,0.002753007134848273,0.005705208325430311,0.014540231469171161,0.013225133103757614
2001,,-0.21433105281585518,-0.24908055298010856,-0.1552489460803108,-0.14036839222015252,-0.11771209989440268,-0.09990105195617871,-0.10011180609718207,-0.1511570601150426,-0.1020678209371032,-0.09040547171905466,-0.08775006174705235,-0.07578124636042538,-0.0555323714842495,-0.03815251909969952,-0.0010741747713414185,-0.0026755493644770034,0.0013391937977875745,0.0002764599313016536,0.008869278090522847,0.016805010177233237,0.02500999278616578,0.012724295187556356,0.015402665248937852,0.02429147861924208,0.02252057171394717
2002,,,-0.28588164538772953,-0.1262546860053141,-0.11567684158242753,-0.09330499661435643,-0.07759866531890058,-0.08161007777398599,-0.14234109204776546,-0.08838090823081413,-0.07680149320204965,-0.07519488969742816,-0.06302590627318305,-0.041733985702543386,-0.023727552836062316,0.01569532657839101,0.012845616521248715,0.016217327410616544,0.014203536239645098,0.02263473517264103,0.030382345466349436,0.03843591153650827,0.024760639894174874,0.02704900896201834,0.03592677835966418,0.03357666932763381
2003,,,,0.047299763759404145,-0.025810827248085033,-0.026168005736481703,-0.02226756581521605,-0.03864862425968796,-0.11649464934202669,-0.05917511046007229,-0.04922809533799133,-0.05046228953278975,-0.03903597981799589,-0.01715042972799985,0.0009724340376748852,0.04285208477074587,0.03778650807927186,0.039830430949366225,0.03617148193509023,0.044018489028679664,0.05119047300477364,0.05874943070922645,0.04309361730839378,0.04466586641063475,0.053311401223460786,0.05006243328393678
2004,,,,,-0.09866474882953935,-0.06351669182803277,-0.046541729470995885,-0.060568277635558165,-0.14954543606931714,-0.0768044375935879,-0.06332823546723909,-0.06297954937622596,-0.04922283457651677,-0.024591561533499617,-0.004447313115679696,0.040983148725097784,0.03565936371600298,0.03795888847043494,0.03417210582810615,0.04258755612720644,0.05023236861705471,0.05824024258322957,0.04180919550307127,0.043510731809812464,0.052600790077530934,0.04923527593938193
2005,,,,,,-0.032234766757633815,-0.021988145733102593,-0.049217590229713726,-0.16286003392139026,-0.07336607970897135,-0.05814350031042881,-0.05848459940245754,-0.04348699429117109,-0.01656469279084849,0.00498039418240892,0.05421575220313013,0.04727390599498382,0.048879186459196866,0.0439994456341779,0.05240084283529556,0.05998164043681098,0.06796107417119135,0.04993174483050544,0.051307379218684224,0.060530940384463605,0.05660126046522285
2006,,,,,,,-0.016631244366426823,-0.059970161750443673,-0.20543384204553905,-0.08449080663078201,-0.06429585150009975,-0.06368890327314158,-0.0459781480428485,-0.015545720545189545,0.008226067916118796,0.06220871811055306,0.05384414069648624,0.0550228223408038,0.04925776911690338,0.057908978081660845,0.0656549410498024,0.07381190750526834,0.05429243327309452,0.055501308048362175,0.06502047948210854,0.06065129216839016
2007,,,,,,,,-0.10626756362288359,-0.2904969971817626,-0.10841957848008288,-0.07706100620047185,-0.07383309470547594,-0.05181149200398183,-0.016534219478322454,0.010190023144919236,0.07002126392945063,0.05996029366215949,0.06066379945264533,0.053905235385506955,0.06287767017094259,0.07083985284130945,0.07922103475960007,0.05806290206927511,0.05911616072294246,0.06898710376569017,0.0641603942762905
2008,,,,,,,,,-0.43956656593617605,-0.11172269764898013,-0.06880127830937866,-0.06680734770363073,-0.04155714396128818,-0.0016049632649476342,0.02725662289503039,0.09367292485343803,0.07962820471019172,0.07843373710660728,0.069323773703039,0.07788576868531494,0.08541379183021602,0.09346289215325632,0.06967576591274027,0.07007737323790231,0.07998632074139,0.07422873401000252
2009,,,,,,,,,,0.351820276289305,0.17685798357335192,0.09188330909655229,0.08673824491801896,0.1145800346359851,0.13233617373296203,0.20088185322546392,0.16990364636617872,0.15826667448774523,0.13941294570020268,0.14290127459796076,0.14604937204125346,0.15046190833895245,0.1195652331312731,0.11666036381290557,0.1247059752876567,0.11570575884189549
