month,sp500_tr_usd,sp500_price_usd,spy_adj_usd,usdkzt,dep_kzt_rate,dep_usd_rate,cpi_kz
1999-12,2021.4000244140625,1469.25,92.03352355957033,138.2,13.5,8.5,100.0
2000-01,1919.8399658203125,1394.4599609375,87.45142364501953,139.45,16.5,9.1,102.56260920209685
2000-02,1883.5,1366.4200439453125,86.11984252929688,140.15,16.7,8.4,102.67909143855567
2000-03,2067.760009765625,1498.5799560546875,94.46610260009766,141.8,10.5,8.3,102.67909143855567
2000-04,2005.550048828125,1452.4300537109375,91.14842987060548,142.15,17.6,7.7,103.02853814793235
2000-05,1964.4000244140625,1420.5999755859375,89.71536254882812,142.35,20.0,8.0,103.7856726849155
2000-06,2012.8299560546875,1454.5999755859375,91.48108673095705,142.6,16.5,8.5,104.4263249854396
2000-07,1981.3599853515625,1430.8299560546875,90.04461669921875,142.7,18.6,7.5,104.83401281304583
2000-08,2104.429931640625,1517.6800537109375,95.92823028564452,142.65,18.0,8.5,105.06697728596394
2000-09,1993.3299560546875,1436.510009765625,90.66536712646484,142.75,16.2,7.9,105.59114735002922
2000-10,1984.9100341796875,1429.4000244140625,90.2412567138672,142.65,15.5,8.6,106.87245195107764
2000-11,1828.4200439453125,1314.949951171875,83.5045166015625,144.1,15.9,8.4,108.44496214327299
2000-12,1837.3699951171875,1320.280029296875,83.06803894042969,144.5,15.6,8.6,109.78450786255118
2001-01,1902.550048828125,1366.010009765625,86.7612075805664,145.1,16.4,8.4,110.94933022714031
2001-02,1729.0799560546875,1239.93994140625,78.48526763916016,145.3,14.7,7.6,111.70646476412347
2001-03,1619.5400390625,1160.3299560546875,74.08716583251953,145.45,15.7,7.9,112.52184041933614
2001-04,1745.3900146484375,1249.4599609375,80.41718292236328,145.65,14.6,7.9,113.33721607454859
2001-05,1757.0899658203125,1255.8199462890625,79.96637725830078,146.1,14.7,7.7,113.80314502038458
2001-06,1714.3199462890625,1224.3800048828125,78.06082916259766,146.5,13.9,7.6,113.8613861386141
2001-07,1697.449951171875,1211.22998046875,77.26496124267578,146.8,14.4,8.3,113.74490390215503
2001-08,1591.1800537109375,1133.5799560546875,72.68063354492188,147.15,14.4,6.1,113.74490390215503
2001-09,1462.68994140625,1040.93994140625,66.74768829345703,147.7,13.7,7.8,113.97786837507292
2001-10,1490.5799560546875,1059.780029296875,67.6168441772461,148.1,13.8,7.5,114.73500291205607
2001-11,1604.9200439453125,1139.449951171875,72.88941955566406,148.55,13.6,7.8,115.78334304018661
2001-12,1618.97998046875,1148.0799560546875,73.30047607421875,150.2,12.8,7.3,116.83168316831694
2002-01,1595.3499755859375,1130.199951171875,72.5821762084961,151.3,13.1,7.5,117.64705882352938
2002-02,1564.5899658203125,1106.72998046875,71.2803955078125,151.9,12.5,7.5,117.9965055329063
2002-03,1623.4300537109375,1147.3900146484375,73.65193939208984,152.2,11.2,7.0,118.17122888759464
2002-04,1525.0,1076.9200439453125,69.36863708496094,152.8,11.5,7.2,118.81188118811896
2002-05,1513.77001953125,1067.1400146484375,68.95701599121094,152.9,11.3,7.1,119.8602213162493
2002-06,1405.93994140625,989.8200073242188,63.86751174926758,153.1,11.1,6.8,120.44263249854407
2002-07,1296.3399658203125,911.6199951171876,58.83347702026367,153.85,11.3,7.2,121.1415259172977
2002-08,1304.8599853515625,916.0700073242188,59.233585357666016,154.15,10.2,6.9,120.79207920792076
2002-09,1163.0400390625,815.280029296875,53.0228157043457,154.55,9.4,7.1,120.90856144437983
2002-10,1265.4100341796875,885.760009765625,57.385765075683594,154.35,10.8,6.9,121.60745486313344
2002-11,1339.8900146484375,936.3099975585938,60.92536163330078,154.2,12.0,6.7,122.77227722772281
2002-12,1261.1800537109375,879.8200073242188,57.47882080078125,155.6,11.0,6.9,124.51951077460674
2003-01,1228.1400146484375,855.7000122070312,56.06515121459961,155.2,11.2,6.8,125.7425742574259
2003-02,1209.7099609375,841.1500244140625,55.30946350097656,152.6,11.3,5.6,126.32498543972046
2003-03,1221.4599609375,848.1799926757812,55.42778015136719,152.28,10.9,6.1,126.6744321490974
2003-04,1322.0699462890625,916.9199829101562,60.11764907836914,151.96,9.5,6.4,127.14036109493314
2003-05,1391.719970703125,963.5900268554688,63.41425704956055,150.8,11.2,6.5,127.25684333139196
2003-06,1409.47998046875,974.5,64.0897216796875,148.0,11.1,6.6,127.31508444962148
2003-07,1434.3299560546875,990.3099975585938,65.24504852294922,146.76,10.9,6.4,127.31508444962148
2003-08,1462.300048828125,1008.010009765625,66.5908432006836,147.47,9.9,5.8,127.54804892253935
2003-09,1446.77001953125,995.969970703125,65.86458587646484,148.93,10.5,6.1,128.0139778683751
2003-10,1528.6199951171875,1050.7099609375,69.39009857177734,148.03,10.0,6.0,129.70297029702976
2003-11,1542.0699462890625,1058.199951171875,70.14791870117188,146.63,10.0,5.6,131.7414094350611
2003-12,1622.93994140625,1111.9200439453125,73.67725372314453,144.22,10.9,5.9,132.90623179965044
2004-01,1652.72998046875,1131.1300048828125,75.13385772705078,139.41,10.0,5.9,133.77984857309264
2004-02,1675.699951171875,1144.93994140625,76.15350341796875,139.15,9.3,5.9,134.42050087361673
2004-03,1650.4200439453125,1126.2099609375,75.14478302001953,138.88,9.4,5.8,134.94467093768202
2004-04,1624.510009765625,1107.300048828125,73.72294616699219,138.5,9.2,6.4,135.41059988351776
2004-05,1646.800048828125,1120.6800537109375,74.9853744506836,137.34,9.6,6.0,135.64356435643566
2004-06,1678.8299560546875,1140.8399658203125,76.37268829345703,136.45,9.6,6.0,136.05125218404186
2004-07,1623.260009765625,1101.719970703125,73.91202545166016,136.29,9.4,5.8,136.34245777518927
2004-08,1629.8299560546875,1104.239990234375,74.09207916259766,136.61,9.1,5.4,136.86662783925456
2004-09,1647.47998046875,1114.5799560546875,74.83572387695312,134.56,9.8,5.8,137.91496796738508
2004-10,1672.6500244140625,1130.199951171875,75.7999496459961,132.0,8.7,5.2,139.37099592312188
2004-11,1740.3299560546875,1173.8199462890625,79.1744155883789,130.02,9.2,5.6,140.65230052417007
2004-12,1799.550048828125,1211.9200439453125,81.55923461914062,130.0,9.3,5.6,142.10832847990682
2005-01,1755.6800537109375,1181.27001953125,79.73057556152344,130.37,9.6,6.0,142.9237041351195
2005-02,1792.6300048828125,1203.5999755859375,81.39727783203125,130.15,9.6,6.0,143.7812463599301
2005-03,1760.8900146484375,1180.5899658203125,79.90830993652344,132.59,9.7,5.9,144.64393383808977
2005-04,1727.489990234375,1156.8499755859375,78.41119384765625,131.61,9.7,6.0,145.51179744111846
