dep,sp_usd,fx,excess_10y
0.1,0.04,0.0,-0.06504800585348469
0.1,0.04,0.02,-0.047596313828754844
0.1,0.04,0.04,-0.029957721264565862
0.1,0.04,0.06,-0.012165072452198666
0.1,0.04,0.08,0.005754601591217323
0.1,0.06,0.0,-0.04821425603895879
0.1,0.06,0.02,-0.03023979488425599
0.1,0.06,0.04,-0.01210476221161727
0.1,0.06,0.06,0.0061621755404694945
0.1,0.06,0.08,0.024537569987524988
0.1,0.08,0.0,-0.03120538690035024
0.1,0.08,0.02,-0.012733640750677067
0.1,0.08,0.04,0.005876000990630459
0.1,0.08,0.06,0.024598602395705882
0.1,0.08,0.08,0.043413868892711704
0.1,0.1,0.0,-0.014051187408233856
0.1,0.1,0.02,0.004896270784868095
0.1,0.1,0.04,0.023962169679595302
0.1,0.1,0.06,0.043124866213501534
0.1,0.1,0.08,0.06236681847678294
0.12,0.04,0.0,-0.0833947971115
0.12,0.04,0.02,-0.06628556390035778
0.12,0.04,0.04,-0.04899309774467586
0.12,0.04,0.06,-0.03154959842418781
0.12,0.04,0.08,-0.013981566519774224
0.12,0.06,0.0,-0.06689138007969486
0.12,0.06,0.02,-0.04926963616485602
0.12,0.06,0.04,-0.031490471666182684
0.12,0.06,0.06,-0.01358199049364106
0.12,0.06,0.08,0.004432819101663155
0.12,0.08,0.0,-0.050216280133060454
0.12,0.08,0.02,-0.03210700956812418
0.12,0.08,0.04,-0.013862549370416422
0.12,0.08,0.06,0.004492653855996842
0.12,0.08,0.08,0.02293870378461671
0.12,0.1,0.0,-0.033398701685928955
0.12,0.1,0.02,-0.014823054091141374
0.12,0.1,0.04,0.0038687100144652042
0.12,0.1,0.06,0.02265537227554315
0.12,0.1,0.08,0.04151973501146755
0.147,0.04,0.0,-0.10754694982291113
0.147,0.04,0.02,-0.09088853754534909
0.147,0.04,0.04,-0.07405172043249686
0.147,0.04,0.06,-0.057067849813746685
0.147,0.04,0.08,-0.03996272799107525
0.147,0.06,0.0,-0.09147839072902308
0.147,0.06,0.02,-0.07432097218429057
0.147,0.06,0.04,-0.05701028102037475
0.147,0.06,0.06,-0.039573680621306395
0.147,0.06,0.08,-0.02203355350766567
0.147,0.08,0.0,-0.07524267249124228
0.147,0.08,0.02,-0.057610573413875765
0.147,0.08,0.04,-0.03984684689239393
0.147,0.08,0.06,-0.021975295373363846
0.147,0.08,0.08,-0.004015290923642056
0.147,0.1,0.0,-0.058868230000148514
0.147,0.1,0.02,-0.04078204272700092
0.147,0.1,0.04,-0.02258279856313339
0.147,0.1,0.06,-0.004291156769359539
0.147,0.1,0.08,0.014076138125180604
