month,yoy_pct,source
2025-01,8.9,БНС АСПиР РК (stat.gov.kz) через findh.org
2025-02,9.4,БНС АСПиР РК
2025-03,10.0,БНС АСПиР РК
2025-04,10.7,БНС АСПиР РК
2025-05,11.2,БНС АСПиР РК
2025-06,11.8,БНС АСПиР РК
2025-07,11.8,БНС АСПиР РК
2025-08,12.2,БНС АСПиР РК
2025-09,12.9,БНС АСПиР РК
2025-10,12.6,БНС АСПиР РК
2025-11,12.4,БНС АСПиР РК
2025-12,12.3,БНС АСПиР РК
2026-01,12.2,БНС АСПиР РК
2026-02,11.7,БНС АСПиР РК
2026-03,11.0,БНС АСПиР РК
2026-04,10.6,БНС АСПиР РК
2026-05,10.4,БНС АСПиР РК
2026-06,10.3,БНС АСПиР РК
2026-07,10.2,БНС АСПиР РК
2026-08,9.8,БНС АСПиР РК
