date,usdkzt
1996-01-31,
1996-02-29,
1996-03-31,
1996-04-30,
1996-05-31,
1996-06-30,
1996-07-31,
1996-08-31,
1996-09-30,
1996-10-31,
1996-11-30,
1996-12-31,
1997-01-31,
1997-02-28,
1997-03-31,
1997-04-30,
1997-05-31,
1997-06-30,
1997-07-31,
1997-08-31,
1997-09-30,
1997-10-31,
1997-11-30,
1997-12-31,
1998-01-31,
1998-02-28,
1998-03-31,
1998-04-30,
1998-05-31,
1998-06-30,
1998-07-31,
1998-08-31,
1998-09-30,
1998-10-31,
1998-11-30,
1998-12-31,
1999-01-31,
1999-02-28,
1999-03-31,
1999-04-30,
1999-05-31,
1999-06-30,
1999-07-31,
1999-08-31,
1999-09-30,
1999-10-31,140.8
1999-11-30,138.0
1999-12-31,138.2
2000-01-31,139.45
2000-02-29,140.15
2000-03-31,141.8
2000-04-30,142.15
2000-05-31,142.35
2000-06-30,142.6
2000-07-31,142.7
2000-08-31,142.65
2000-09-30,142.75
2000-10-31,142.65
2000-11-30,144.1
2000-12-31,144.5
2001-01-31,145.1
2001-02-28,145.3
2001-03-31,145.45
2001-04-30,145.65
2001-05-31,146.1
2001-06-30,146.5
2001-07-31,146.8
2001-08-31,147.15
2001-09-30,147.7
2001-10-31,148.1
2001-11-30,148.55
2001-12-31,150.2
2002-01-31,151.3
2002-02-28,151.9
2002-03-31,152.2
2002-04-30,152.8
2002-05-31,152.9
2002-06-30,153.1
2002-07-31,153.85
2002-08-31,154.15
2002-09-30,154.55
2002-10-31,154.35
2002-11-30,154.2
2002-12-31,155.6
2003-01-31,155.2
2003-02-28,152.6
2003-03-31,152.28
2003-04-30,151.96
2003-05-31,150.8
2003-06-30,148.0
2003-07-31,146.76
2003-08-31,147.47
2003-09-30,148.93
2003-10-31,148.03
2003-11-30,146.63
2003-12-31,144.22
2004-01-31,139.41
2004-02-29,139.15
2004-03-31,138.88
2004-04-30,138.5
2004-05-31,137.34
2004-06-30,136.45
2004-07-31,136.29
2004-08-31,136.61
2004-09-30,134.56
2004-10-31,132.0
2004-11-30,130.02
